plot_id,tree_id,stem_id,survey_id,recorded_local_name,species_name,dbh,pom,dead,stump,cut,fallen,broken,inclining,pcent_missing,stump_height_m,observations
HCN_CF10,10CF/tree[123],10CF/tree[123]/stem[1],5,simbiri,Androstachys johnsonii,13.7,1.05,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,90,1.2,
HCN_CF10,10CF/tree[124],10CF/tree[124]/stem[1],5,simbiri,Androstachys johnsonii,5.3,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[125],10CF/tree[125]/stem[1],5,simbiri,Androstachys johnsonii,5.4,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[126],10CF/tree[126]/stem[1],5,simbiri,Androstachys johnsonii,13.5,1.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[127],10CF/tree[127]/stem[1],5,simbiri,Androstachys johnsonii,8.1,1.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[128],10CF/tree[128]/stem[1],5,simbiri,Androstachys johnsonii,20.7,0.85,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,90,1.15,
HCN_CF10,10CF/tree[129],10CF/tree[129]/stem[1],5,simbiri,Androstachys johnsonii,8.7,1.3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,20,,
HCN_CF10,10CF/tree[13],10CF/tree[13]/stem[1],5,simbiri,Androstachys johnsonii,6.2,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[130],10CF/tree[130]/stem[1],5,simbiri,Androstachys johnsonii,19.5,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[131],10CF/tree[131]/stem[1],5,simbiri,Androstachys johnsonii,14.2,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[132],10CF/tree[132]/stem[1],5,simbiri,Androstachys johnsonii,7.8,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[133],10CF/tree[133]/stem[1],5,simbiri,Androstachys johnsonii,11.7,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[134],10CF/tree[134]/stem[1],5,simbiri,Androstachys johnsonii,10.4,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[135],10CF/tree[135]/stem[1],5,simbiri,Androstachys johnsonii,16.1,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[136],10CF/tree[136]/stem[1],5,simbiri,Androstachys johnsonii,6.1,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[137],10CF/tree[137]/stem[1],5,simbiri,Androstachys johnsonii,15.7,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[138],10CF/tree[138]/stem[1],5,simbiri,Androstachys johnsonii,10.3,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[139],10CF/tree[139]/stem[1],5,simbiri,Androstachys johnsonii,8.9,0.35,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,99,0.45,
HCN_CF10,10CF/tree[14],10CF/tree[14]/stem[1],5,simbiri,Androstachys johnsonii,7.1,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[140],10CF/tree[140]/stem[1],5,simbiri,Androstachys johnsonii,11,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[140],10CF/tree[140]/stem[2],5,simbiri,Androstachys johnsonii,7.8,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[141],10CF/tree[141]/stem[1],5,simbiri,Androstachys johnsonii,5,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[142],10CF/tree[142]/stem[1],5,simbiri,Androstachys johnsonii,8,1.1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[142],10CF/tree[142]/stem[2],5,simbiri,Androstachys johnsonii,28.5,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[142],10CF/tree[142]/stem[3],5,simbiri,Androstachys johnsonii,7.3,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[143],10CF/tree[143]/stem[1],5,lisotchua,unknown4_gaza,5.7,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[143],10CF/tree[143]/stem[2],5,lisotchua,unknown4_gaza,5.6,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[143],10CF/tree[143]/stem[3],5,lisotchua,unknown4_gaza,6.5,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[143],10CF/tree[143]/stem[4],5,lisotchua,unknown4_gaza,5.3,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[143],10CF/tree[143]/stem[5],5,lisotchua,unknown4_gaza,6.6,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[144],10CF/tree[144]/stem[1],5,simbiri,Androstachys johnsonii,11,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[144],10CF/tree[144]/stem[2],5,simbiri,Androstachys johnsonii,6.2,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[145],10CF/tree[145]/stem[1],5,simbiri,Androstachys johnsonii,5.5,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[146],10CF/tree[146]/stem[1],5,simbiri,Androstachys johnsonii,18,1.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[147],10CF/tree[147]/stem[1],5,simbiri,Androstachys johnsonii,6,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[147],10CF/tree[147]/stem[2],5,simbiri,Androstachys johnsonii,6.7,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[148],10CF/tree[148]/stem[1],5,simbiri,Androstachys johnsonii,10.5,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[149],10CF/tree[149]/stem[1],5,simbiri,Androstachys johnsonii,10.7,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[15],10CF/tree[15]/stem[1],5,simbiri,Androstachys johnsonii,10.1,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[150],10CF/tree[150]/stem[1],5,xivondzone,Combretum spp.,7,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[150],10CF/tree[150]/stem[2],5,xivondzone,Combretum spp.,7,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[151],10CF/tree[151]/stem[1],5,simbiri,Androstachys johnsonii,6.4,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[152],10CF/tree[152]/stem[1],5,sessane,Acacia grandicornuta,15.7,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[152],10CF/tree[152]/stem[10],5,sessane,Acacia grandicornuta,13.6,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[152],10CF/tree[152]/stem[11],5,sessane,Acacia grandicornuta,21.3,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[152],10CF/tree[152]/stem[2],5,sessane,Acacia grandicornuta,19,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[152],10CF/tree[152]/stem[3],5,sessane,Acacia grandicornuta,9.2,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[152],10CF/tree[152]/stem[4],5,sessane,Acacia grandicornuta,13.6,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[152],10CF/tree[152]/stem[5],5,sessane,Acacia grandicornuta,9.8,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[152],10CF/tree[152]/stem[6],5,sessane,Acacia grandicornuta,11.7,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[152],10CF/tree[152]/stem[7],5,sessane,Acacia grandicornuta,22.2,1.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[152],10CF/tree[152]/stem[8],5,sessane,Acacia grandicornuta,20,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[152],10CF/tree[152]/stem[9],5,sessane,Acacia grandicornuta,17.6,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[153],10CF/tree[153]/stem[1],5,simbiri,Androstachys johnsonii,7.5,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[154],10CF/tree[154]/stem[1],5,simbiri,Androstachys johnsonii,9.6,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[154],10CF/tree[154]/stem[2],5,simbiri,Androstachys johnsonii,6.9,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[154],10CF/tree[154]/stem[3],5,simbiri,Androstachys johnsonii,13.2,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[155],10CF/tree[155]/stem[1],5,simbiri,Androstachys johnsonii,18,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[155],10CF/tree[155]/stem[2],5,simbiri,Androstachys johnsonii,15.9,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[156],10CF/tree[156]/stem[1],5,simbiri,Androstachys johnsonii,5,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[157],10CF/tree[157]/stem[1],5,simbiri,Androstachys johnsonii,9.1,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[158],10CF/tree[158]/stem[1],5,simbiri,Androstachys johnsonii,18.5,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[158],10CF/tree[158]/stem[2],5,simbiri,Androstachys johnsonii,11.4,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[159],10CF/tree[159]/stem[1],5,simbiri,Androstachys johnsonii,13.7,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[159],10CF/tree[159]/stem[2],5,simbiri,Androstachys johnsonii,7.7,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[16],10CF/tree[16]/stem[1],5,simbiri,Androstachys johnsonii,8.6,0.4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,95,0.46,
HCN_CF10,10CF/tree[16],10CF/tree[16]/stem[2],5,simbiri,Androstachys johnsonii,6.2,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[160],10CF/tree[160]/stem[1],5,simbiri,Androstachys johnsonii,6,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[161],10CF/tree[161]/stem[1],5,simbiri,Androstachys johnsonii,10.1,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[162],10CF/tree[162]/stem[1],5,simbiri,Androstachys johnsonii,18,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[163],10CF/tree[163]/stem[1],5,simbiri,Androstachys johnsonii,10,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[164],10CF/tree[164]/stem[1],5,simbiri,Androstachys johnsonii,7.8,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[164],10CF/tree[164]/stem[2],5,simbiri,Androstachys johnsonii,9,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[164],10CF/tree[164]/stem[3],5,simbiri,Androstachys johnsonii,6.6,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
HCN_CF10,10CF/tree[165],10CF/tree[165]/stem[1],5,simbiri,Androstachys johnsonii,13.3,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
